WorkerId,Input.list,Answer.English,Answer.country,Type,PresentationOrder,AnswerChoice,Item,LongWord,Cond,First,Experiment,list,ShortWord,PickedShort
A8E34U9XG2WX7,2,yes,USA,AnswerChoice,10,2,25,gasoline,neut,longfirst,LongShort,2,gas,1.0
A37DTVGS7RX6AG,3,yes,USA,AnswerChoice,10,2,27,microphone,neut,shortfirst,LongShort,3,mic,0.0
A1JTU5PKYFLGB,6,yes,USA,AnswerChoice,10,1,26,United Kingdom,neut,shortfirst,LongShort,6,UK,1.0
A3K5QOTA054ZGF,7,yes,USA,AnswerChoice,10,1,17,referee,supp,longfirst,LongShort,7,ref,0.0
A309BLCQJHQULO,9,yes,USA,AnswerChoice,10,2,27,microphone,supp,shortfirst,LongShort,9,mic,0.0
A2NY4882G47O1C,14,yes,USA,AnswerChoice,10,2,35,hamburger,supp,shortfirst,LongShort,14,burger,0.0
A3HOBJ4PJUOCUN,15,yes,USA,AnswerChoice,10,1,40,United Nations,neut,longfirst,LongShort,15,UN,0.0
A30SJSKDXXDCDZ,16,yes,USA,AnswerChoice,10,2,21,television,supp,longfirst,LongShort,16,TV,1.0
A3C71H34Y7E2KX,17,yes,USA,AnswerChoice,10,1,24,air-conditioning,neut,longfirst,LongShort,17,A/C,0.0
A1RWNYJA5X25YH,18,yes,USA,AnswerChoice,10,2,21,television,neut,longfirst,LongShort,18,TV,1.0
A3GACPNP0L91IH,21,yes,USA,AnswerChoice,10,1,25,gasoline,neut,shortfirst,LongShort,21,gas,1.0
A2T5CROJ0FWIJY,26,yes,USA,AnswerChoice,10,1,37,quadrangle,neut,shortfirst,LongShort,26,quad,1.0
A1WNTIQMAQ81T4,29,yes,USA,AnswerChoice,10,1,5,memorandum,supp,shortfirst,LongShort,29,memo,1.0
A7WWXZ5KMC796,30,yes,USA,AnswerChoice,10,2,38,emergency room,supp,longfirst,LongShort,30,ER,1.0
A2TCD3EGK3TL7N,31,yes,USA,AnswerChoice,10,2,35,hamburger,supp,longfirst,LongShort,31,burger,1.0
AO3XB5I5QNNUI,32,yes,USA,AnswerChoice,10,1,7,fraternity,supp,longfirst,LongShort,32,frat,0.0
A1T4HQ3SBQIS5A,33,yes,USA,AnswerChoice,10,1,33,milkshake,supp,longfirst,LongShort,33,shake,0.0
AX92Z8EH3K0YC,34,yes,USA,AnswerChoice,10,2,5,memorandum,supp,longfirst,LongShort,34,memo,1.0
AYEXVPS4R274L,36,yes,USA,AnswerChoice,10,1,7,fraternity,supp,longfirst,LongShort,36,frat,0.0
A362OLSNQ8PIV6,37,yes,USA,AnswerChoice,10,1,33,milkshake,supp,longfirst,LongShort,37,shake,0.0
A2OMK175OQ2TS0,38,yes,USA,AnswerChoice,10,1,14,saxophone,neut,longfirst,LongShort,38,sax,0.0
AKUJ4M0HU5YOL,39,yes,USA,AnswerChoice,10,2,4,dormitory,supp,shortfirst,LongShort,39,dorm,0.0
A2BKVB7Q1GQTPS,40,yes,USA,AnswerChoice,10,1,37,quadrangle,supp,shortfirst,LongShort,40,quad,1.0
A22KKBNFTCM1P,41,yes,USA,AnswerChoice,10,1,10,rhinoceros,neut,shortfirst,LongShort,41,rhino,1.0
ANGY6I5B3TCCH,43,yes,USA,AnswerChoice,10,2,6,photograph,supp,longfirst,LongShort,43,photo,1.0
A10VQSMGPJFSMU,48,yes,USA,AnswerChoice,10,2,36,quadriceps,supp,longfirst,LongShort,48,quads,1.0
A3JHSQ7UR2VDMN,49,yes,USA,AnswerChoice,10,2,18,undergraduate,neut,shortfirst,LongShort,49,undergrad,0.0
A3RTDA6X7O17DV,51,yes,USA,AnswerChoice,10,2,27,microphone,neut,shortfirst,LongShort,51,mic,0.0
AEPZVX2TC4E7Z,52,yes,USA,AnswerChoice,10,1,34,veterinarian,neut,longfirst,LongShort,52,vet,0.0
A8X1YI90JPSGP,53,yes,USA,AnswerChoice,10,1,2,bicycle,supp,shortfirst,LongShort,53,bike,1.0
A37J805N3P3HXS,54,yes,USA,AnswerChoice,10,2,15,cockroach,neut,shortfirst,LongShort,54,roach,0.0
A2CGAOF4G65D67,57,yes,USA,AnswerChoice,10,2,18,undergraduate,neut,shortfirst,LongShort,57,undergrad,0.0
A15SD1XBOOUYBG,58,yes,USA,AnswerChoice,10,1,29,Labrador,neut,longfirst,LongShort,58,Lab,0.0
A8E34U9XG2WX7,2,yes,USA,AnswerChoice,11,2,2,bicycle,supp,longfirst,LongShort,2,bike,1.0
A1JTU5PKYFLGB,6,yes,USA,AnswerChoice,11,2,15,cockroach,neut,shortfirst,LongShort,6,roach,0.0
A3K5QOTA054ZGF,7,yes,USA,AnswerChoice,11,2,14,saxophone,supp,shortfirst,LongShort,7,sax,0.0
A2OH5YI49YW305,8,yes,USA,AnswerChoice,11,1,13,limousine,neut,shortfirst,LongShort,8,limo,1.0
A309BLCQJHQULO,9,yes,USA,AnswerChoice,11,2,12,pornography,supp,shortfirst,LongShort,9,porn,0.0
A1HUHOJYQNDH6F,11,yes,USA,AnswerChoice,11,1,23,advertisement,neut,shortfirst,LongShort,11,ad,1.0
A2BOANV5MQGOM5,12,yes,USA,AnswerChoice,11,2,33,milkshake,supp,shortfirst,LongShort,12,shake,0.0
A2NY4882G47O1C,14,yes,USA,AnswerChoice,11,2,36,quadriceps,neut,longfirst,LongShort,14,quads,1.0
A3C71H34Y7E2KX,17,yes,USA,AnswerChoice,11,2,13,limousine,neut,longfirst,LongShort,17,limo,1.0
A1RWNYJA5X25YH,18,yes,USA,AnswerChoice,11,1,31,mayonnaise,supp,shortfirst,LongShort,18,mayo,1.0
A1YJ5V26CP9X44,19,yes,USA,AnswerChoice,11,2,22,carbohydrates,neut,longfirst,LongShort,19,carbs,1.0
A3GACPNP0L91IH,21,yes,USA,AnswerChoice,11,2,11,chimpanzee,supp,longfirst,LongShort,21,chimp,1.0
A15A4X84A1CJPF,28,yes,USA,AnswerChoice,11,2,21,television,supp,longfirst,LongShort,28,TV,1.0
A7WWXZ5KMC796,30,yes,USA,AnswerChoice,11,1,9,hippopotamus,supp,longfirst,LongShort,30,hippo,0.0
A2TCD3EGK3TL7N,31,yes,USA,AnswerChoice,11,2,27,microphone,neut,shortfirst,LongShort,31,mic,0.0
AO3XB5I5QNNUI,32,yes,USA,AnswerChoice,11,2,14,saxophone,supp,longfirst,LongShort,32,sax,1.0
AYEXVPS4R274L,36,yes,USA,AnswerChoice,11,1,37,quadrangle,supp,shortfirst,LongShort,36,quad,1.0
A362OLSNQ8PIV6,37,yes,USA,AnswerChoice,11,2,1,mathematics,neut,longfirst,LongShort,37,math,1.0
A2OMK175OQ2TS0,38,yes,USA,AnswerChoice,11,2,18,undergraduate,neut,longfirst,LongShort,38,undergrad,1.0
A2BKVB7Q1GQTPS,40,yes,USA,AnswerChoice,11,2,39,United States,neut,shortfirst,LongShort,40,US,0.0
A18ZSPN0K9HLRF,42,yes,USA,AnswerChoice,11,2,12,pornography,supp,longfirst,LongShort,42,porn,1.0
AL12RG9EJZ60,44,yes,USA,AnswerChoice,11,2,35,hamburger,neut,shortfirst,LongShort,44,burger,0.0
A1OETZXW67E8QT,46,yes,USA,AnswerChoice,11,1,6,photograph,supp,shortfirst,LongShort,46,photo,1.0
A2OV4MPH59XO4W,47,yes,USA,AnswerChoice,11,2,29,Labrador,supp,shortfirst,LongShort,47,Lab,0.0
A10VQSMGPJFSMU,48,yes,USA,AnswerChoice,11,2,20,chemotherapy,neut,shortfirst,LongShort,48,chemo,0.0
A3JHSQ7UR2VDMN,49,yes,USA,AnswerChoice,11,2,3,examination,supp,longfirst,LongShort,49,exam,1.0
A3RTDA6X7O17DV,51,yes,USA,AnswerChoice,11,2,14,saxophone,supp,shortfirst,LongShort,51,sax,0.0
A37J805N3P3HXS,54,yes,USA,AnswerChoice,11,2,24,air-conditioning,supp,shortfirst,LongShort,54,A/C,0.0
A2CGAOF4G65D67,57,yes,USA,AnswerChoice,11,2,4,dormitory,neut,shortfirst,LongShort,57,dorm,0.0
A15SD1XBOOUYBG,58,yes,USA,AnswerChoice,11,2,39,United States,supp,shortfirst,LongShort,58,US,0.0
A8E34U9XG2WX7,2,yes,USA,AnswerChoice,12,1,3,examination,neut,shortfirst,LongShort,2,exam,1.0
A37DTVGS7RX6AG,3,yes,USA,AnswerChoice,12,1,5,memorandum,neut,shortfirst,LongShort,3,memo,1.0
A3G7NL91BRY9JL,5,yes,USA,AnswerChoice,12,1,24,air-conditioning,neut,longfirst,LongShort,5,A/C,0.0
